station_id,urbanization_bin
USC00283029,4
USC00283951,7
USC00284229,4
USC00284987,8
USC00286055,9
USC00290222,9
USC00290600,1
USC00291664,1
USC00291813,0
USC00292848,2
USC00295150,6
USC00297008,5
USC00297867,0
USC00298535,8
USC00299156,3
USC00299820,0
USC00300183,1
USC00301752,2
USC00301966,1
USC00303184,5
USC00303773,2
USC00304102,1
USC00304174,6
USC00304912,3
USC00305426,1
USC00306085,3
USC00306314,5
USC00306774,4
USC00307484,6
USC00309000,6
USC00309292,3
USC00309670,5
USC00310090,5
USC00310506,3
USC00311677,6
USC00312200,3
USC00312635,1
USC00312719,5
USC00313017,7
USC00313976,7
USC00314055,3
USC00314938,6
USC00315123,3
USC00315177,6
USC00315356,2
USC00315771,6
USC00315830,6
USC00315838,6
USC00315890,6
USC00317079,8
USC00317202,5
USC00317615,7
USC00318292,7
USC00318500,5
USC00318744,2
USC00319147,5
USC00319467,5
USC00319476,7
USC00320814,8
USC00320941,2
USC00321871,1
USC00323287,0
USC00323621,7
USC00324418,5
USC00325479,5
USC00325754,0
USC00325993,5
USC00326255,1
USC00326315,1
USC00326365,0
USC00327530,1
USC00328792,0
USC00329445,0
USC00330563,5
USC00330862,5
USC00331072,5
USC00331541,4
USC00331592,5
USC00331890,5
USC00332791,7
USC00333375,6
USC00333758,4
USC00333780,2
USC00334551,8
USC00334979,5
USC00336118,5
USC00336465,3
USC00336781,5
USC00338552,4
USC00338769,7
USC00338822,4
USC00338830,4
USC00339312,6
USC00340546,5
USC00342912,7
USC00343628,1
USC00344298,1
USC00346139,0
USC00350304,5
USC00350694,8
USC00351765,1
USC00351862,4
USC00351897,5
USC00352406,1
USC00352693,3
USC00352997,6
USC00353770,0
USC00353827,1
USC00354003,5
USC00354622,5
USC00355593,3
USC00355734,0
USC00356634,1
USC00357169,3
USC00357331,6
USC00358997,1
USC00363028,4
USC00366233,7
USC00367477,2
USC00367931,4
USC00368449,7
USC00368905,3
USC00369050,6
USC00369298,5
USC00369408,1
USC00374266,4
USC00380165,8
USC00381588,3
USC00381770,5
USC00381944,8
USC00382260,5
USC00383742,9
USC00385200,2
USC00386527,7
USC00387722,1
USC00389327,3
USC00389350,8
USC00389469,1
USC00390043,0
USC00390128,1
USC00391049,1
USC00391076,5
